Record_ID,Date,Buyer_ID,Country,Industry,Avg_Order_Tons,Revenue_Size_USD,Team_Size,Certification,Good_Payment_History,Prompt_Response,Hiring_Growth,Funding_Event,Engagement_Spike,SalesNav_ProfileVisits,DecisionMaker_Change,Intent_Score,Preferred_Channel,Response_Probability,Tariff_News,StockMarket_Shock,War_Event,Natural_Calamity,Currency_Fluctuation
2671,2022-12-14,BUY_69351,USA,Electronics,1683,39148941,6400,ISO9001,0,0.54,0,Unknown,1,2247,0,0.7,Call,NA,1,0,0,0,0.42
2672,2024-01-21,BUY_28438,UAE,IT Software,3227,33455842,6929,None,1,0.56,1,0,0,14739,1,0.73,Email,NA,0,0,0,0,-0.64
2673,2023-04-08,BUY_58277,Canada,Medical Devices,4691,6660662,4830,ISO9001,0,0.75,0,1,1,14102,1,0.88,LinkedIn,NA,0,1,0,0,-0.41
2674,2024-01-15,BUY_93731,Netherlands,Solar,3124,103051957,1119,IEC,0,0.81,0,0,1,18617,1,0.27,WhatsApp,NA,0,0,1,1,0.74
2675,2023-02-11,BUY_26134,Australia,Textiles,,107953759,3492,ISO9001,0,0.77,1,0,0,7340,0,0.14,LinkedIn,0.04,0,0,1,0,0.91
2676,2023-02-27,BUY_64257,Singapore,IT Software,7791,108357367,6908,SOC2,0,0.65,0,0,1,18770,1,0.13,WhatsApp,0.26,1,0,1,1,-0.05
2677,2022-05-03,BUY_47543,Australia,Textiles,6946,23372693,1058,None,1,0.3,0,0,1,9724,0,0.69,Call,0.02,0,0,1,0,0.55
2678,2024-04-11,BUY_39048,Australia,IT Software,6993,8229564,6480,None,1,0.88,1,1,1,16934,0,0.4,Email,0.36,1,1,1,0,-0.92
2679,2022-05-29,BUY_39991,UK,Electronics,,94500805,3291,None,0,0.3,1,1,0,15098,0,0.02,,,0,1,1,0,-0.91
2680,2022-09-05,BUY_87418,UK,Chemicals,5097,177802990,53,ISO14001,0,0.72,0,1,1,199,1,0.16,Call,,0,0,1,0,0.41
2681,2023-02-16,,UAE,Chemicals,,6287523,3447,ISO14001,1,0.35,1,1,0,12825,0,0.68,,NA,0,1,0,1,0.37
2682,2023-06-05,BUY_12545,Netherlands,Textiles,6511,107768825,1228,None,0,0.74,1,1,0,17248,1,0.56,Call,,0,1,0,0,0.92
2683,2024-08-18,BUY_78866,Singapore,IT Software,2242,104835746,915,GDPR,1,0.28,1,0,0,15545,0,0.76,Call,0.75,0,0,1,0,0.22
2684,2022-02-01,BUY_14637,UK,Textiles,3285,88811494,4703,None,1,0.18,1,Unknown,1,7366,0,0.91,WhatsApp,NA,0,1,0,0,-0.04
2685,2021-08-10,BUY_49054,UK,Auto Parts,3795,111765120,6057,None,1,0.66,1,Unknown,1,9714,1,0.62,Call,,0,1,1,1,-0.38
2686,2024-06-23,BUY_87219,Germany,Chemicals,7794,149557921,5559,None,1,0.11,1,Unknown,1,16179,0,0.63,LinkedIn,NA,0,1,0,0,-0.3
2687,2024-05-20,BUY_62454,UK,Pharmaceuticals,1288,160400203,767,FDA,0,0.59,1,0,0,19096,1,0.18,LinkedIn,,1,1,1,0,0.99
2688,2021-07-23,,Netherlands,Chemicals,,130245902,3550,RoHS,1,0.14,0,0,0,12415,0,0.1,Email,0.79,0,0,1,1,-0.62
2689,2022-07-08,BUY_48072,Canada,IT Software,,126941281,5480,GDPR,0,0.48,0,Unknown,1,860,0,0.36,WhatsApp,NA,0,0,0,0,0.48
2690,2022-01-09,BUY_91912,Singapore,Machinery,,15093168,6163,None,1,0.69,1,Unknown,1,16361,0,0.28,Call,,0,1,1,1,-0.41
2691,2024-07-11,BUY_77347,Netherlands,Textiles,,182188027,3168,ISO9001,1,0.97,0,0,0,8216,1,0.92,LinkedIn,,1,0,1,0,0.06
2692,2021-11-30,BUY_26484,USA,Electronics,,124698079,1057,None,1,0.16,0,Unknown,0,18815,0,0.33,Email,,0,1,1,0,-0.11
2693,2024-10-02,BUY_83663,UK,Solar,3102,84023186,1922,UL,1,0.84,0,0,0,16258,1,0.1,Call,0.58,1,1,0,1,-0.53
2694,2022-11-06,BUY_44316,Canada,Auto Parts,7473,67048422,549,ISO9001,1,0.2,0,Unknown,1,10301,0,0.27,LinkedIn,,0,0,0,1,-0.86
2695,2022-03-02,BUY_51792,France,Solar,,30883504,6270,UL,1,0.69,1,Unknown,1,3564,0,0.86,Email,NA,1,1,0,1,0.04
2696,2023-10-15,BUY_42614,Netherlands,Textiles,4799,128118388,6856,None,0,0.14,1,0,0,3063,1,0.94,,,0,1,0,0,-0.01
2697,2024-12-15,BUY_77148,Singapore,Machinery,5252,43239666,3298,ISO9001,0,0.21,0,Unknown,0,11109,0,0.62,,NA,0,1,0,1,0.96
2698,2023-08-12,BUY_72457,UAE,Solar,5220,190472538,4810,IEC,1,0.94,0,0,0,19750,1,0.24,,,1,1,1,1,-0.16
2699,2021-05-26,BUY_94579,Australia,Chemicals,4411,31377889,4598,RoHS,1,0,1,0,1,18184,1,0.99,WhatsApp,0.46,0,0,1,0,0.85
2700,2022-07-19,BUY_61507,Australia,Pharmaceuticals,,183266328,5879,WHO-GMP,1,0.23,0,Unknown,1,11544,0,0.36,WhatsApp,NA,1,1,1,1,0.54
2701,2022-01-19,BUY_75861,Canada,Electronics,,155914448,3927,ISO9001,0,0.65,1,1,1,203,1,0.16,Email,0.52,1,1,1,0,-0.31
2702,2021-06-04,BUY_38069,Italy,Chemicals,,162034054,1921,ISO14001,0,0.83,0,Unknown,0,14788,1,0.08,Call,0.86,0,1,0,1,-0.23
2703,2022-11-27,BUY_12778,Canada,IT Software,7121,187458094,6183,None,1,0.14,1,1,0,18568,0,0.8,Call,0.18,0,1,1,0,-0.45
2704,2021-08-27,BUY_94292,Australia,Engineering,,160524379,193,CE,1,0.34,1,0,1,8467,1,0.08,Email,NA,1,0,0,1,-0.97
2705,2024-09-10,BUY_98167,Netherlands,Pharmaceuticals,3218,147896667,1227,WHO-GMP,1,0.69,1,1,0,9407,1,0.78,,NA,0,1,1,1,0.78
2706,2024-07-14,BUY_11287,Australia,Chemicals,,188730516,4414,ISO14001,1,0.1,0,0,1,8304,0,0.63,,NA,0,0,1,0,-0.23
2707,2022-01-06,BUY_84005,Canada,Electronics,4046,54430819,952,None,0,0.23,0,1,0,14161,1,0.69,Call,NA,1,0,0,1,0.29
2708,2022-10-02,BUY_61698,Japan,Pharmaceuticals,3419,81417789,2120,None,1,0.67,0,1,0,13895,1,0.12,LinkedIn,,1,0,0,1,0.25
2709,2023-12-29,BUY_30191,UK,Pharmaceuticals,7354,117869644,1635,None,1,0.98,0,1,1,3347,1,0.04,,,0,1,1,1,-0.2
2710,2024-03-12,BUY_77428,Italy,Chemicals,,104276114,5332,ISO14001,1,0.7,0,Unknown,1,17227,1,0.7,Email,,0,1,0,0,-0.16
2711,2021-12-12,BUY_99514,USA,Chemicals,4423,74247785,44,REACH,1,0.04,1,0,1,12885,0,0.7,Call,NA,0,1,0,1,0.11
2712,2021-01-31,BUY_33227,France,Solar,6421,47714954,1675,IEC,0,1,0,1,0,6500,0,0.62,WhatsApp,,0,0,0,1,0.84
2713,2023-06-12,BUY_51258,Japan,IT Software,,2350149,1994,None,1,0.25,1,0,0,8801,1,0.28,,,0,1,1,0,0.05
2714,2025-01-16,BUY_80690,Australia,Medical Devices,,85361825,52,None,0,0.5,1,Unknown,0,17537,1,0.27,LinkedIn,0.41,0,1,0,0,-0.94
2715,2021-02-12,BUY_95126,Australia,Textiles,,1425700,6815,None,0,0.61,0,0,1,12885,1,0.48,Call,,0,1,1,1,0.56
2716,2023-01-08,BUY_22844,UAE,Pharmaceuticals,5228,158542365,860,FDA,0,0.36,0,Unknown,0,634,0,0.97,,,0,0,0,0,0.82
2717,2023-12-20,BUY_13881,Italy,IT Software,,186771339,2503,ISO27001,1,0.12,1,1,0,3770,1,0.66,LinkedIn,,0,1,1,0,-0.15
2718,2021-10-06,BUY_97653,Singapore,Auto Parts,,119543277,750,None,0,0.28,0,0,1,2673,0,0.47,Email,NA,1,0,0,1,-0.18
2719,2024-12-19,BUY_68441,Japan,IT Software,622,178798846,2650,SOC2,0,0.04,0,0,1,13586,0,0.9,LinkedIn,NA,1,0,1,1,0.57
2720,2022-06-13,BUY_48341,Germany,Textiles,,109152548,3779,ISO9001,1,0.01,0,1,0,14662,0,0.05,,0.27,0,0,1,0,-0.91
2721,2022-02-14,BUY_64198,Singapore,Medical Devices,,23443763,2745,None,0,0.69,0,1,0,7654,0,0.38,Call,0.3,1,0,1,0,-0.1
2722,2021-09-27,BUY_72959,Germany,Engineering,906,114654469,6536,CE,0,0.68,1,0,1,2758,1,0.51,Call,0.68,1,0,1,1,-0.53
2723,2024-05-22,BUY_42930,France,Engineering,,79240828,2671,None,0,0.36,1,1,1,9224,1,0.35,WhatsApp,0.23,1,0,1,1,-0.56
2724,2023-09-20,BUY_41814,Australia,Textiles,,177353481,4241,None,0,0.52,1,1,1,19995,1,0.11,Call,0.16,1,1,1,0,0.43
2725,2024-04-23,,Netherlands,Textiles,5998,126719452,6075,ISO9001,1,0.29,1,0,0,2130,0,0.42,,NA,0,1,1,0,-0.87
2726,2021-01-26,BUY_75465,Canada,Pharmaceuticals,,2265174,690,FDA,0,0.57,0,Unknown,1,19516,1,0.21,Email,NA,1,1,0,0,-0.92
2727,2024-03-18,BUY_97057,Germany,Solar,,162682666,5421,TUV,1,0.97,1,0,1,2238,0,0.83,WhatsApp,,0,1,0,0,-0.3
2728,2022-12-02,,Germany,Electronics,5257,33429692,4445,ISO9001,0,0.83,0,0,0,10673,1,0.78,LinkedIn,0.83,0,0,1,0,-0.36
2729,2022-07-01,BUY_25429,Canada,Machinery,,93362666,1242,None,0,0.65,0,0,0,13221,1,0.24,,NA,1,1,0,1,0.99
2730,2022-07-30,BUY_19753,UK,Engineering,7693,85267089,2241,ISO9001,1,0.12,0,Unknown,1,19666,1,0.06,Call,0.27,0,1,1,0,-0.91
2731,2024-10-19,BUY_25702,France,Textiles,2388,4639743,575,None,1,0.57,1,0,0,4932,1,0.68,Call,NA,0,1,0,0,0.1
2732,2023-07-09,BUY_74443,Australia,Solar,,126878558,4037,IEC,0,0.52,1,1,0,17970,1,0.52,LinkedIn,,1,1,1,0,-0.5
2733,2022-10-22,BUY_57514,France,Machinery,,32676442,6459,None,1,0.82,1,1,1,10292,1,0.86,WhatsApp,,1,0,0,1,0.93
2734,2024-02-09,BUY_33482,USA,Chemicals,,137781812,2235,None,0,0.13,0,1,0,18285,0,0.7,Email,0.3,1,1,0,0,-0.54
2735,2022-06-30,BUY_30136,Australia,Solar,2132,160499381,4362,UL,1,0.92,1,Unknown,0,5475,0,0.68,LinkedIn,,0,0,1,1,-0.96
2736,2022-01-20,BUY_81671,Canada,Chemicals,7353,139188181,3638,RoHS,1,0.08,0,Unknown,0,7631,1,0.52,Email,,0,1,0,1,-0.7
2737,2022-06-30,BUY_82917,USA,Machinery,1636,32979036,1758,ISO9001,0,0.7,1,Unknown,1,7288,0,0.72,Call,,1,0,1,0,-0.52
2738,2021-02-12,BUY_83754,Germany,Engineering,,123910496,6304,None,1,0.48,1,1,1,748,0,0.48,Email,0.06,1,0,0,0,0.06
2739,2024-10-31,BUY_97124,Australia,Pharmaceuticals,7621,127124615,2538,WHO-GMP,1,0.55,1,0,0,12113,1,0.68,LinkedIn,NA,1,0,1,1,0.26
2740,2023-05-08,BUY_28573,Netherlands,Pharmaceuticals,,23878997,1047,WHO-GMP,1,0.03,0,Unknown,0,13292,0,0.62,WhatsApp,,0,1,0,0,-0.31
2741,2022-11-11,BUY_57835,Netherlands,Machinery,,39421480,1694,ISO9001,1,0.96,1,1,0,7810,0,0.29,Call,,1,0,1,1,-0.87
2742,2024-05-11,BUY_24459,France,IT Software,5763,146596228,2986,SOC2,0,0.99,1,Unknown,1,9143,1,0.78,,NA,0,1,1,0,-0.19
2743,2024-04-12,BUY_92684,Japan,Pharmaceuticals,2013,192372151,216,None,1,0.44,1,Unknown,1,15827,1,0.1,Call,,0,1,0,0,-0.49
2744,2024-04-10,BUY_79518,UAE,Solar,,88884108,1813,None,0,0.58,1,1,1,778,0,0.73,Call,,0,0,0,0,-0.75
2745,2023-12-19,BUY_81644,UAE,Medical Devices,647,29656787,6062,None,0,0.15,1,Unknown,0,3515,0,0.1,Email,NA,1,0,1,0,0.25
2746,2024-05-18,BUY_98066,Italy,Pharmaceuticals,7883,11424465,6520,EU-GMP,1,0.86,1,0,1,10542,1,0.35,LinkedIn,,0,1,1,0,0.19
2747,2024-11-04,BUY_67679,Italy,Solar,,38546138,1238,None,0,0.77,1,0,1,16937,0,0.75,Email,,1,1,0,1,0.48
2748,2024-01-16,BUY_26050,Singapore,Textiles,1117,44735619,721,None,1,0.96,1,Unknown,0,3751,1,0.21,LinkedIn,NA,0,1,1,0,-0.5
2749,2021-06-16,BUY_19393,Australia,Auto Parts,3590,83638696,6547,ISO9001,1,0.21,1,Unknown,1,2857,1,0.23,Email,0.46,1,1,0,1,0.37
2750,2024-03-26,BUY_22964,USA,Solar,,73029234,1257,IEC,0,0.39,0,Unknown,0,16005,1,0.13,Email,0.9,1,0,0,1,-0.34
2751,2024-08-26,,USA,Machinery,4141,103218776,2464,None,0,0.98,1,Unknown,0,9233,1,0.84,Call,,1,1,0,0,0.92
2752,2024-09-26,BUY_84850,UAE,IT Software,,168937541,4026,SOC2,1,0.44,0,1,0,14908,1,0.63,Email,NA,1,1,0,1,0.36
2753,2024-01-10,BUY_12585,UK,Electronics,7233,149044308,283,ISO9001,1,0.64,1,1,1,15402,0,1,Email,NA,1,1,0,0,0.96
2754,2021-11-20,BUY_89244,UAE,Chemicals,979,96526486,3859,ISO14001,0,0.19,0,0,0,18433,1,0.98,WhatsApp,NA,0,0,1,1,0.83
2755,2022-04-04,BUY_66278,Canada,Engineering,,11896585,6134,ISO9001,1,0.69,0,1,1,19375,0,0.54,WhatsApp,NA,0,1,1,1,0.61
2756,2021-06-27,BUY_87669,Japan,Machinery,5481,6397855,4627,None,0,0.74,1,0,1,12991,1,0.35,Call,0.84,1,0,1,1,0.24
2757,2022-09-08,BUY_90758,France,Engineering,,143408713,1730,ISO9001,0,0.18,1,Unknown,1,8160,1,0.87,WhatsApp,0.35,1,0,1,0,0.54
2758,2022-04-30,BUY_11252,USA,Chemicals,,6550511,242,RoHS,0,0.63,0,1,0,723,1,0.33,LinkedIn,,0,0,0,0,0.85
2759,2023-01-20,BUY_14264,UK,Engineering,,2536118,5521,ISO9001,1,0.31,1,Unknown,1,12878,0,0.65,,0.56,1,1,1,1,0.18
2760,2021-05-13,BUY_44727,Germany,Medical Devices,,6138959,2322,None,1,0.63,0,1,1,6324,1,0.24,Email,0.27,0,1,1,0,0.14
2761,2023-05-26,BUY_89453,USA,Textiles,3562,179415491,6266,None,0,0.08,0,1,1,3004,0,0.09,LinkedIn,NA,0,1,0,0,0.96
2762,2025-01-31,BUY_83934,France,Chemicals,,198634721,584,ISO14001,0,0.23,0,0,1,12026,0,0.98,WhatsApp,NA,0,1,1,0,0.53
2763,2023-06-11,BUY_36473,Canada,Solar,,178625884,492,TUV,0,0.05,1,Unknown,0,10676,0,0.31,LinkedIn,0.78,1,0,0,0,0.75
2764,2023-09-25,BUY_65322,Germany,Pharmaceuticals,,24611704,864,EU-GMP,0,0.5,1,Unknown,0,9816,0,0.97,LinkedIn,,0,1,1,0,0.85
2765,2022-01-01,BUY_74180,Canada,Electronics,,109818569,202,None,1,0.8,0,0,0,7168,0,0.55,Call,0.36,1,0,1,0,-0.21
2766,2021-09-20,BUY_85438,Germany,Textiles,200,82934212,3520,None,0,0.39,0,0,1,17498,0,0.25,WhatsApp,,0,1,0,1,0.65
2767,2022-01-28,BUY_62203,Japan,Electronics,,163810517,1228,None,1,0.88,1,0,1,17533,1,0.43,Email,NA,0,0,0,0,0.79
2768,2023-04-09,BUY_55837,Japan,Chemicals,6138,120648272,1367,ISO14001,0,0.45,1,1,0,15777,0,0.6,WhatsApp,0.45,1,1,1,0,-0.47
2769,2023-06-22,BUY_66705,France,Auto Parts,,138659919,3937,ISO9001,1,0.26,1,1,0,18242,1,0.01,Email,0.46,1,1,1,1,0.33
2770,2023-06-13,BUY_26538,Canada,Pharmaceuticals,4442,191882873,54,WHO-GMP,0,0.36,0,0,1,9437,1,0.2,,0.63,1,1,1,0,0.72
2771,2025-01-14,BUY_32726,UK,Solar,,192677720,4038,IEC,1,0.85,1,Unknown,0,3690,0,0.46,Email,,0,0,0,0,0.99
2772,2023-09-18,BUY_76858,Italy,Machinery,,40149054,3746,None,1,0.71,0,1,1,332,0,0.3,Email,0.46,0,0,1,0,-0.48
2773,2022-09-05,BUY_58873,Italy,Machinery,2763,149778343,789,ISO9001,1,0.79,0,Unknown,1,6189,1,0.17,Email,0.59,1,0,0,0,-0.7
2774,2023-10-23,BUY_50090,Japan,Solar,,182450656,2628,None,1,0.32,0,Unknown,1,13734,1,0.77,,0.33,1,0,0,0,-0.3
2775,2024-09-17,BUY_39689,Italy,Chemicals,,95514876,3782,None,1,0.56,1,Unknown,1,7445,0,0.99,Email,0.43,1,0,1,1,-0.77
2776,2021-04-10,BUY_35108,Canada,Solar,,109308832,4361,None,0,0.54,0,Unknown,1,17958,1,0.86,LinkedIn,NA,1,1,0,1,-0.47
2777,2024-06-08,BUY_56072,Japan,Electronics,,53382304,1573,ISO9001,1,0.52,1,0,1,86,0,0.78,Call,NA,0,0,0,1,-0.65
2778,2024-12-04,BUY_36440,Japan,Chemicals,1713,177998982,1971,REACH,0,0.32,1,1,1,5838,0,0.28,Email,1,0,1,0,0,0.42
2779,2024-07-13,BUY_76680,USA,Solar,,128743690,2413,IEC,1,0.48,1,Unknown,0,19907,1,0.32,LinkedIn,NA,1,0,0,0,0.63
2780,2021-08-01,BUY_39466,UAE,Auto Parts,,110965970,850,ISO9001,0,0.14,0,Unknown,1,14991,0,0.38,,NA,0,0,1,1,-0.8
2781,2024-06-29,BUY_94997,USA,Solar,4530,30191888,3605,TUV,1,0.14,1,Unknown,1,17803,0,0.9,,,0,1,1,1,-0.87
2782,2024-07-18,BUY_86236,France,Medical Devices,,121863093,5693,ISO9001,0,0.48,1,Unknown,1,11334,0,0.09,Email,NA,0,1,1,0,-0.2
2783,2024-03-04,BUY_26174,UK,Solar,,132641977,4680,None,1,0.73,1,0,1,15851,0,0.97,WhatsApp,0.19,1,1,1,0,0.67
2784,2023-04-05,BUY_36185,Italy,Pharmaceuticals,,22240387,5589,EU-GMP,0,0.27,1,1,1,16087,0,0.6,WhatsApp,NA,1,0,0,0,0.55
2785,2024-05-06,BUY_58638,USA,Pharmaceuticals,,107793503,5384,FDA,0,0.65,1,Unknown,0,910,0,0.34,LinkedIn,NA,1,1,0,1,-0.74
2786,2022-02-18,BUY_30815,Germany,Machinery,,44047180,5296,ISO9001,0,0.78,1,0,0,19335,1,0.09,Call,NA,1,1,1,0,0.38
2787,2021-02-14,BUY_80391,France,Auto Parts,7534,74984363,1565,None,1,0.11,1,0,1,16454,1,0.05,Call,0.02,0,0,0,1,-0.71
2788,2021-01-04,BUY_61700,UAE,Electronics,5824,136940747,6963,None,0,0.14,1,Unknown,1,8481,0,0.17,WhatsApp,0.24,1,1,0,1,-0.83
2789,2025-02-02,BUY_15642,UAE,Medical Devices,4219,107285526,1709,ISO9001,0,0.8,1,0,0,6817,1,0.37,Email,,1,1,0,0,0.97
2790,2023-02-26,BUY_90120,Canada,IT Software,,65045161,1624,None,1,0.94,1,Unknown,0,14572,1,0.82,Email,NA,1,0,1,1,-0.32
2791,2022-12-10,BUY_56504,Germany,IT Software,459,20745466,4477,None,1,0.33,0,0,1,1349,0,0.1,Call,,1,0,0,1,0.78
2792,2023-10-05,BUY_91550,UK,Medical Devices,,96322291,1327,None,1,0.75,1,1,1,11496,1,0.56,LinkedIn,0.12,0,0,0,0,0.57
2793,2022-07-01,BUY_93227,UK,IT Software,630,155634580,1431,SOC2,1,0.32,1,0,0,15319,1,0.96,LinkedIn,NA,1,0,0,1,-0.65
2794,2023-11-01,BUY_13072,Singapore,Engineering,6858,22095452,2883,None,1,0.73,0,0,0,3162,1,0.53,WhatsApp,NA,0,0,1,0,-0.21
2795,2021-12-18,BUY_74515,Japan,Electronics,,184934440,624,ISO9001,0,0.84,0,Unknown,0,15049,0,0.84,Call,,1,0,1,0,0.18
2796,2023-09-04,BUY_75890,Canada,Medical Devices,1862,92209398,4568,None,1,0.53,1,0,1,10514,1,0.93,LinkedIn,0.35,0,1,1,1,-0.05
2797,2021-07-08,BUY_23931,Australia,Textiles,4773,5665851,3551,None,1,0.83,1,Unknown,0,10405,1,0.88,WhatsApp,0.72,1,1,0,0,-0.24
2798,2025-01-29,BUY_82489,USA,Machinery,4141,128869827,6919,ISO9001,0,0.88,0,1,1,10211,0,0.47,,NA,1,0,1,0,-0.51
2799,2024-11-28,BUY_51758,Netherlands,Auto Parts,,187087307,2260,None,0,0.05,1,1,1,10084,0,0.13,LinkedIn,NA,0,0,0,0,-0.81
2800,2023-03-12,BUY_74037,USA,Medical Devices,,142341187,3837,None,0,0.98,0,0,1,4885,0,0.58,Email,NA,1,1,0,0,-0.59
2801,2025-01-10,,UAE,Chemicals,5344,188859671,6350,REACH,0,0.38,0,0,1,8913,1,0.46,,0.45,1,0,0,1,0.83
2802,2024-03-20,BUY_52067,UK,Auto Parts,3637,193473543,2804,None,1,0.43,1,Unknown,1,6493,1,0.23,LinkedIn,NA,0,0,0,0,-0.5
2803,2021-05-13,BUY_53261,Singapore,Solar,6725,171839689,5879,None,1,0.32,0,Unknown,0,14194,0,0.61,WhatsApp,NA,1,1,1,0,0.15
2804,2021-07-31,BUY_49558,France,Pharmaceuticals,,195981478,3767,None,0,0.81,1,1,1,8587,1,0.41,LinkedIn,,0,1,1,1,-0.14
2805,2023-10-16,BUY_73791,UAE,IT Software,,89063092,4162,SOC2,0,0.9,0,0,0,13287,0,0.33,,0.82,1,1,0,0,0.92
2806,2021-03-06,BUY_58963,Canada,Pharmaceuticals,,62401836,6154,None,0,0.98,0,0,0,1318,1,0.56,,,0,0,0,0,0.64
2807,2022-04-19,BUY_98040,UK,Solar,6934,145169312,3748,TUV,0,0.91,0,1,1,6686,1,0.37,Email,,1,1,0,0,0.55
2808,2023-05-27,BUY_53524,Canada,IT Software,,97360979,2464,GDPR,1,0.56,1,0,1,15285,0,0.8,,NA,0,0,1,1,0.68
2809,2024-05-25,BUY_77861,Canada,Textiles,206,68664949,4211,ISO9001,0,0.18,0,0,0,19628,0,0.86,,,0,0,0,0,0.48
2810,2022-11-02,BUY_73670,Germany,Chemicals,,86733804,5296,RoHS,1,0.38,0,Unknown,0,18418,1,0.81,WhatsApp,0.27,0,0,0,0,0.91
2811,2022-02-08,BUY_51514,France,Pharmaceuticals,,96334381,5834,WHO-GMP,0,0.31,0,0,1,3858,1,0.11,LinkedIn,NA,1,1,0,1,-0.18
2812,2021-10-12,BUY_53816,Australia,Medical Devices,2793,128303051,4089,ISO9001,1,0.96,1,Unknown,0,14413,0,0.6,Email,NA,1,1,0,0,-0.15
2813,2021-03-06,BUY_71751,UAE,IT Software,503,60540569,4382,GDPR,1,0.16,0,0,0,18133,0,0.43,,NA,0,1,1,0,-0.97
2814,2023-05-03,BUY_53219,Germany,Electronics,,34925569,3655,ISO9001,1,0.78,0,0,1,1860,1,0.08,LinkedIn,,1,1,1,1,0.01
2815,2024-02-26,BUY_78947,UK,Machinery,164,17321043,5886,ISO9001,1,0.87,0,Unknown,0,14628,0,0.76,,NA,0,1,0,0,0.75
2816,2023-05-09,BUY_95082,USA,Auto Parts,,86937206,5987,None,0,0.26,0,Unknown,0,9815,0,1,Email,,0,0,1,1,0.12
2817,2024-03-27,BUY_82976,UK,Electronics,2082,115455285,1762,None,0,0.94,1,1,1,7656,0,0.21,,,0,1,1,0,0.02
2818,2023-07-13,BUY_45740,Canada,Auto Parts,,84772639,4129,ISO9001,0,0.54,0,1,0,15023,1,0.12,LinkedIn,,1,0,0,1,-0.68
2819,2022-04-16,BUY_99306,France,Solar,,140805215,4235,TUV,1,0.16,1,1,0,7466,1,0.04,Call,0.51,0,1,0,1,-0.02
2820,2025-01-05,BUY_90597,Canada,Machinery,,155948855,2894,None,0,0.69,0,1,0,6690,1,0.41,LinkedIn,NA,0,1,1,1,0.32
2821,2022-04-17,BUY_88633,USA,Pharmaceuticals,,104142868,3345,EU-GMP,1,0.92,0,1,1,3463,1,0.9,WhatsApp,,0,1,1,0,0.79
2822,2024-06-02,BUY_92889,Netherlands,Machinery,,141794692,4445,ISO9001,0,0.89,1,1,1,9602,0,0.74,LinkedIn,NA,1,0,1,1,-0.01
2823,2022-06-25,BUY_31761,Germany,Electronics,,111503021,5007,None,1,0.09,0,Unknown,0,3282,0,0.65,Call,,1,1,1,0,0.67
2824,2022-07-07,BUY_56936,Germany,Electronics,6544,25316900,4535,None,0,0.85,0,1,1,1180,0,0.3,Email,NA,0,0,0,1,-0.22
2825,2021-12-02,BUY_73728,Canada,Engineering,,149457057,1346,ISO9001,1,0.83,1,1,0,4651,0,0.56,WhatsApp,,1,0,0,0,-0.86
2826,2021-12-03,BUY_20237,Japan,Medical Devices,4045,172349126,1427,None,1,0.38,0,1,1,5980,0,0.43,,,1,1,0,0,0.47
2827,2025-01-05,BUY_47989,Canada,Auto Parts,5168,6419782,2409,None,1,0.28,1,Unknown,1,19086,1,0.48,Email,NA,1,0,0,1,-0.37
2828,2022-01-22,BUY_19011,USA,Engineering,2619,71653264,808,CE,0,0.47,1,1,1,7810,0,0.24,,,0,1,1,0,0.52
2829,2023-09-03,BUY_89414,Netherlands,Auto Parts,6599,41663531,3758,None,0,0.31,1,1,1,3457,1,0.62,Call,,0,0,1,0,0.29
2830,2022-02-20,BUY_33208,USA,Auto Parts,,43663915,3071,None,0,0.34,0,0,0,19761,1,0.66,,,0,0,1,1,0.08
2831,2021-09-30,BUY_62880,France,Textiles,1421,10913526,818,ISO9001,1,0.1,1,1,0,10888,1,0.1,Email,,0,1,0,0,-0.3
2832,2022-10-19,BUY_54873,UK,Electronics,,20594475,711,None,0,0.69,1,0,0,13942,0,0.49,LinkedIn,,1,0,0,1,-0.62
2833,2023-09-29,BUY_45707,Canada,Textiles,450,116983787,3013,ISO9001,0,0.03,1,1,0,14225,1,0.11,Email,,1,1,0,0,0.99
2834,2021-11-17,BUY_25242,Netherlands,Textiles,2289,190004643,3842,ISO9001,0,0.38,0,0,0,16563,0,0.11,,NA,1,0,1,0,0.5
2835,2023-03-15,BUY_66199,UAE,Solar,,142233110,5981,None,0,0.71,0,Unknown,0,4143,1,0.18,Email,,1,0,0,1,-0.19
2836,2022-02-25,BUY_78720,Japan,Pharmaceuticals,,181163002,2685,None,0,0.56,0,0,0,17844,0,0.59,Call,,0,1,0,0,0.5
2837,2021-12-09,BUY_33513,Singapore,Chemicals,7493,85695704,2036,RoHS,1,0.64,1,0,0,15909,0,0.72,Email,,1,1,0,0,-0.71
2838,2022-03-23,BUY_69361,Canada,Pharmaceuticals,,27681633,1596,WHO-GMP,1,0.93,1,1,1,8257,1,0.74,Call,0.74,0,0,0,0,0.06
2839,2024-09-29,BUY_16487,Italy,Solar,,24341971,3010,IEC,0,0.92,1,Unknown,1,3316,0,0.22,,0.38,0,1,0,0,-0.41
2840,2023-04-19,BUY_98595,UAE,Machinery,3941,189834658,4899,ISO9001,1,0.41,0,0,0,5498,0,0.06,LinkedIn,NA,0,0,1,0,0.45
2841,2023-01-15,BUY_67493,Germany,Chemicals,472,6469806,1788,None,0,0.2,0,Unknown,0,10962,1,0.96,Call,,1,0,0,0,0.95
2842,2021-04-24,,Netherlands,IT Software,,25640051,5209,SOC2,1,0.44,1,Unknown,1,15984,0,0.11,Call,NA,1,1,0,1,-0.13
